word	token	X	Y
balach_a2	1	2.927341e+02	2.853216e+02
balach_a2	1	3.024449e+02	2.800585e+02
balach_a2	1	3.113233e+02	2.753495e+02
balach_a2	1	3.188151e+02	2.703622e+02
balach_a2	1	3.274176e+02	2.634342e+02
balach_a2	1	3.365742e+02	2.573387e+02
balach_a2	1	3.451767e+02	2.504107e+02
balach_a2	1	3.537792e+02	2.434827e+02
balach_a2	1	3.643224e+02	2.376654e+02
balach_a2	1	3.743115e+02	2.310157e+02
balach_a2	1	3.856871e+02	2.246443e+02
balach_a2	1	3.967845e+02	2.196594e+02
balach_a2	1	4.084360e+02	2.155070e+02
balach_a2	1	4.220282e+02	2.124653e+02
balach_a2	1	4.347879e+02	2.099777e+02
balach_a2	1	4.467129e+02	2.116498e+02
balach_a2	1	4.583595e+02	2.147085e+02
balg_Va2	1	3.264750e+02	2.621039e+02
balg_Va2	1	3.371011e+02	2.603468e+02
balg_Va2	1	3.477271e+02	2.585896e+02
balg_Va2	1	3.578352e+02	2.559771e+02
balg_Va2	1	3.687988e+02	2.528466e+02
balg_Va2	1	3.806178e+02	2.491982e+02
balg_Va2	1	3.920993e+02	2.469232e+02
balg_Va2	1	4.047738e+02	2.427569e+02
balg_Va2	1	4.177858e+02	2.372173e+02
balg_Va2	1	4.313157e+02	2.325332e+02
balach_a2	2	2.419586e+02	2.970715e+02
balach_a2	2	2.474919e+02	2.915594e+02
balach_a2	2	2.538360e+02	2.881312e+02
balach_a2	2	2.602725e+02	2.837073e+02
balach_a2	2	2.667090e+02	2.792834e+02
balach_a2	2	2.731456e+02	2.748595e+02
balach_a2	2	2.795821e+02	2.704356e+02
balach_a2	2	2.861111e+02	2.650160e+02
balach_a2	2	2.926401e+02	2.595964e+02
balach_a2	2	2.992616e+02	2.531811e+02
balach_a2	2	3.058830e+02	2.467657e+02
balach_a2	2	3.133153e+02	2.424343e+02
balach_a2	2	3.210249e+02	2.351157e+02
balach_a2	2	3.316292e+02	2.290701e+02
balach_a2	2	3.401496e+02	2.238354e+02
balach_a2	2	3.505690e+02	2.197813e+02
balach_a2	2	3.597154e+02	2.186219e+02
balach_a2	2	3.719413e+02	2.167441e+02
balach_a2	2	3.820834e+02	2.156772e+02
balach_a2	2	3.933137e+02	2.137070e+02
balach_a2	2	4.042665e+02	2.147239e+02
balach_a2	2	4.163076e+02	2.148376e+02
balach_a2	2	4.259874e+02	2.187492e+02
balach_a2	2	4.355748e+02	2.236565e+02
balach_a2	2	4.439816e+02	2.304629e+02
balach_a2	2	4.522035e+02	2.392606e+02
balach_a2	2	4.583414e+02	2.488692e+02
balach_a2	2	4.655676e+02	2.575746e+02
balach_a2	2	4.718905e+02	2.651917e+02
balach_a2	2	4.770328e+02	2.747079e+02
balach_a2	2	4.823599e+02	2.822326e+02
balach_a2	2	4.895861e+02	2.909379e+02
