word	token	X	Y
achlais_sf	1	3.784293e+02	2.524060e+02
achlais_sf	1	3.883426e+02	2.481958e+02
achlais_sf	1	3.982770e+02	2.449853e+02
achlais_sf	1	4.072539e+02	2.437955e+02
achlais_sf	1	4.182514e+02	2.435632e+02
achlais_sf	1	4.282070e+02	2.413525e+02
achlais_sf	1	4.381625e+02	2.391417e+02
achlais_sf	1	4.481392e+02	2.379308e+02
achlais_sf	1	4.600943e+02	2.356779e+02
achlais_sf	1	4.710707e+02	2.344458e+02
achlais_sf	1	4.830680e+02	2.341924e+02
achlais_sf	1	4.950653e+02	2.339390e+02
achlais_sf	1	5.061473e+02	2.377058e+02
achlais_sf	1	5.152720e+02	2.435144e+02
achlais_sf	1	5.253543e+02	2.473024e+02
achlais_sf	1	5.355210e+02	2.550894e+02
achlais_sf	1	5.436881e+02	2.629187e+02
achlais_sf	1	5.518553e+02	2.707480e+02
achlais_sf	1	5.590438e+02	2.795982e+02
achlais_sf	1	5.652325e+02	2.884695e+02
tulg_Vu2	1	3.350179e+02	2.388775e+02
tulg_Vu2	1	3.452492e+02	2.367992e+02
tulg_Vu2	1	3.542120e+02	2.376175e+02
tulg_Vu2	1	3.641705e+02	2.385267e+02
tulg_Vu2	1	3.750340e+02	2.405228e+02
tulg_Vu2	1	3.849017e+02	2.424278e+02
tulg_Vu2	1	3.947694e+02	2.443329e+02
tulg_Vu2	1	4.056329e+02	2.463290e+02
tulg_Vu2	1	4.164964e+02	2.483250e+02
tulg_Vu2	1	4.284467e+02	2.494161e+02
tulg_Vu2	1	4.413928e+02	2.505981e+02
tulg_Vu2	1	4.553348e+02	2.518710e+02
tulg_Vu2	1	4.691859e+02	2.541398e+02
tulg_Vu2	1	4.828552e+02	2.584003e+02
tulg_Vu2	1	4.986070e+02	2.618468e+02
tulg_Vu2	1	5.110986e+02	2.680081e+02
achlais_sf	2	2.159219e+02	2.899977e+02
achlais_sf	2	2.214157e+02	2.844463e+02
achlais_sf	2	2.289023e+02	2.790657e+02
achlais_sf	2	2.353071e+02	2.745960e+02
achlais_sf	2	2.427083e+02	2.702117e+02
achlais_sf	2	2.491132e+02	2.657421e+02
achlais_sf	2	2.564290e+02	2.623541e+02
achlais_sf	2	2.648266e+02	2.580551e+02
achlais_sf	2	2.730535e+02	2.557489e+02
achlais_sf	2	2.801986e+02	2.543536e+02
achlais_sf	2	2.883401e+02	2.530437e+02
achlais_sf	2	2.963963e+02	2.527302e+02
achlais_sf	2	3.044524e+02	2.524166e+02
achlais_sf	2	3.135050e+02	2.521884e+02
achlais_sf	2	3.215611e+02	2.518749e+02
achlais_sf	2	3.287063e+02	2.504796e+02
achlais_sf	2	3.390965e+02	2.463514e+02
achlais_sf	2	3.474087e+02	2.430488e+02
achlais_sf	2	3.578843e+02	2.379242e+02
achlais_sf	2	3.682746e+02	2.337959e+02
achlais_sf	2	3.807429e+02	2.288420e+02
achlais_sf	2	3.920442e+02	2.257955e+02
achlais_sf	2	4.053381e+02	2.229196e+02
achlais_sf	2	4.173797e+02	2.229475e+02
achlais_sf	2	4.304176e+02	2.230607e+02
achlais_sf	2	4.422885e+02	2.250812e+02
achlais_sf	2	4.540740e+02	2.280981e+02
achlais_sf	2	4.656035e+02	2.341041e+02
achlais_sf	2	4.771329e+02	2.401100e+02
achlais_sf	2	4.854173e+02	2.488490e+02
achlais_sf	2	4.926199e+02	2.584989e+02
achlais_sf	2	4.977445e+02	2.689745e+02
tulg_Vu2	2	3.565979e+02	2.415498e+02
tulg_Vu2	2	3.641719e+02	2.396432e+02
tulg_Vu2	2	3.722138e+02	2.390713e+02
tulg_Vu2	2	3.802558e+02	2.384993e+02
tulg_Vu2	2	3.895976e+02	2.352236e+02
tulg_Vu2	2	4.002740e+02	2.314799e+02
tulg_Vu2	2	4.100837e+02	2.295387e+02
tulg_Vu2	2	4.194602e+02	2.284987e+02
tulg_Vu2	2	4.310725e+02	2.274241e+02
tulg_Vu2	2	4.453192e+02	2.231778e+02
tulg_Vu2	2	4.573648e+02	2.212020e+02
tulg_Vu2	2	4.725474e+02	2.196247e+02
tulg_Vu2	2	4.815600e+02	2.239576e+02
tulg_Vu2	2	4.919417e+02	2.300584e+02
tulg_Vu2	2	5.014569e+02	2.379616e+02
tulg_Vu2	2	5.074017e+02	2.463675e+02
tulg_Vu2	2	5.147158e+02	2.565413e+02
tulg_Vu2	2	5.184595e+02	2.672176e+02
tulg_Vu2	2	5.191008e+02	2.797312e+02
tulg_Vu2	2	5.188408e+02	2.918114e+02
tulg_Vu2	2	5.199154e+02	3.034237e+02
tulg_Vu2	2	5.214233e+02	3.141347e+02
tulg_Vu2	2	5.237978e+02	3.230433e+02
tulg_Vu2	2	5.270735e+02	3.323851e+02
achlais_sf	3	2.327851e+02	2.927051e+02
achlais_sf	3	2.399446e+02	2.879364e+02
achlais_sf	3	2.480709e+02	2.841997e+02
achlais_sf	3	2.562626e+02	2.784641e+02
achlais_sf	3	2.644215e+02	2.737280e+02
achlais_sf	3	2.715484e+02	2.699587e+02
achlais_sf	3	2.796748e+02	2.662220e+02
achlais_sf	3	2.887679e+02	2.635175e+02
achlais_sf	3	2.968616e+02	2.607803e+02
achlais_sf	3	3.058894e+02	2.600746e+02
achlais_sf	3	3.139505e+02	2.583369e+02
achlais_sf	3	3.220442e+02	2.555997e+02
achlais_sf	3	3.302685e+02	2.488647e+02
achlais_sf	3	3.394269e+02	2.441612e+02
achlais_sf	3	3.475859e+02	2.394250e+02
achlais_sf	3	3.567117e+02	2.357210e+02
achlais_sf	3	3.668043e+02	2.330491e+02
achlais_sf	3	3.768643e+02	2.313767e+02
achlais_sf	3	3.868916e+02	2.307037e+02
achlais_sf	3	3.969189e+02	2.300308e+02
achlais_sf	3	4.079131e+02	2.303899e+02
achlais_sf	3	4.179077e+02	2.307164e+02
achlais_sf	3	4.288366e+02	2.330745e+02
achlais_sf	3	4.387333e+02	2.363994e+02
achlais_sf	3	4.485973e+02	2.407238e+02
achlais_sf	3	4.584614e+02	2.450482e+02
achlais_sf	3	4.683255e+02	2.493726e+02
achlais_sf	3	4.781569e+02	2.546964e+02
achlais_sf	3	4.859241e+02	2.619539e+02
achlais_sf	3	4.936586e+02	2.702108e+02
achlais_sf	3	5.003937e+02	2.784351e+02
achlais_sf	3	5.051298e+02	2.865941e+02
tulg_Vu2	3	2.730625e+02	3.160275e+02
tulg_Vu2	3	2.771332e+02	3.100753e+02
tulg_Vu2	3	2.802040e+02	3.041112e+02
tulg_Vu2	3	2.852983e+02	2.961709e+02
tulg_Vu2	3	2.893927e+02	2.882188e+02
tulg_Vu2	3	2.934634e+02	2.822666e+02
tulg_Vu2	3	2.995577e+02	2.743381e+02
tulg_Vu2	3	3.056519e+02	2.664097e+02
tulg_Vu2	3	3.117343e+02	2.594812e+02
tulg_Vu2	3	3.178049e+02	2.535526e+02
tulg_Vu2	3	3.258872e+02	2.466477e+02
tulg_Vu2	3	3.329814e+02	2.387311e+02
tulg_Vu2	3	3.410400e+02	2.338262e+02
tulg_Vu2	3	3.511458e+02	2.249451e+02
