word	token	X	Y
airgead_ai1	1	3.558680e+02	2.461139e+02
airgead_ai1	1	3.648131e+02	2.451214e+02
airgead_ai1	1	3.755255e+02	2.419206e+02
airgead_ai1	1	3.844706e+02	2.409282e+02
airgead_ai1	1	3.940788e+02	2.368438e+02
airgead_ai1	1	4.047912e+02	2.336430e+02
airgead_ai1	1	4.166077e+02	2.313258e+02
airgead_ai1	1	4.275407e+02	2.301128e+02
airgead_ai1	1	4.384736e+02	2.288998e+02
airgead_ai1	1	4.486331e+02	2.297849e+02
airgead_ai1	1	4.617744e+02	2.303392e+02
airgead_ai1	1	4.730381e+02	2.321079e+02
airgead_ai1	1	4.835285e+02	2.359747e+02
airgead_ai1	1	4.941292e+02	2.408354e+02
airgead_ai1	1	5.039564e+02	2.477941e+02
airgead_ai1	1	5.127898e+02	2.548632e+02
airgead_ai1	1	5.216232e+02	2.619322e+02
airgead_ai1	1	5.322239e+02	2.667929e+02
airgead_Vai2	1	3.366516e+02	2.542827e+02
airgead_Vai2	1	3.464804e+02	2.521861e+02
airgead_Vai2	1	3.564194e+02	2.510834e+02
airgead_Vai2	1	3.654748e+02	2.510848e+02
airgead_Vai2	1	3.753035e+02	2.489882e+02
airgead_Vai2	1	3.851323e+02	2.468916e+02
airgead_Vai2	1	3.939671e+02	2.449053e+02
airgead_Vai2	1	4.046795e+02	2.417045e+02
airgead_Vai2	1	4.153919e+02	2.385037e+02
airgead_Vai2	1	4.262145e+02	2.362968e+02
airgead_Vai2	1	4.371474e+02	2.350838e+02
airgead_Vai2	1	4.481906e+02	2.348647e+02
airgead_Vai2	1	4.602277e+02	2.345353e+02
airgead_Vai2	1	4.702770e+02	2.344265e+02
airgead_Vai2	1	4.827552e+02	2.380727e+02
airgead_Vai2	1	4.941292e+02	2.408354e+02
airgead_Vai2	1	5.056134e+02	2.445919e+02
airgead_Vai2	1	5.152202e+02	2.495628e+02
airgead_Vai2	1	5.251577e+02	2.575155e+02
airgead_Vai2	1	5.322239e+02	2.667929e+02
airgead_ai1	2	2.370054e+02	3.069774e+02
airgead_ai1	2	2.421977e+02	3.011429e+02
airgead_ai1	2	2.482919e+02	2.983394e+02
airgead_ai1	2	2.544837e+02	2.925375e+02
airgead_ai1	2	2.606754e+02	2.867355e+02
airgead_ai1	2	2.668346e+02	2.819330e+02
airgead_ai1	2	2.729939e+02	2.771306e+02
airgead_ai1	2	2.801201e+02	2.733601e+02
airgead_ai1	2	2.862793e+02	2.685576e+02
airgead_ai1	2	2.934381e+02	2.637876e+02
airgead_ai1	2	3.006293e+02	2.580181e+02
airgead_ai1	2	3.077555e+02	2.542476e+02
airgead_ai1	2	3.168807e+02	2.505420e+02
airgead_ai1	2	3.250389e+02	2.458045e+02
airgead_ai1	2	3.331321e+02	2.430660e+02
airgead_ai1	2	3.422573e+02	2.393604e+02
airgead_ai1	2	3.512850e+02	2.386533e+02
airgead_ai1	2	3.613122e+02	2.379786e+02
airgead_ai1	2	3.703074e+02	2.382710e+02
airgead_ai1	2	3.803346e+02	2.375963e+02
airgead_ai1	2	3.903619e+02	2.369216e+02
airgead_ai1	2	4.014210e+02	2.352800e+02
airgead_ai1	2	4.114482e+02	2.346053e+02
airgead_ai1	2	4.234419e+02	2.349951e+02
airgead_ai1	2	4.344036e+02	2.363519e+02
airgead_ai1	2	4.443009e+02	2.396751e+02
airgead_ai1	2	4.531012e+02	2.459643e+02
airgead_ai1	2	4.629336e+02	2.512865e+02
airgead_ai1	2	4.717014e+02	2.585751e+02
airgead_ai1	2	4.795023e+02	2.648318e+02
airgead_ai1	2	4.872707e+02	2.720879e+02
airgead_ai1	2	4.950067e+02	2.803436e+02
airgead_Vai2	2	2.408734e+02	3.111052e+02
airgead_Vai2	2	2.460656e+02	3.052707e+02
airgead_Vai2	2	2.512254e+02	3.004358e+02
