word	token	X	Y
neutral	10	784	471
neutral	11	526	538
neutral	11	533	530
neutral	11	539	520
neutral	11	543	510
neutral	11	549	500
neutral	11	550	483
neutral	11	555	469
neutral	11	559	454
neutral	11	566	441
neutral	11	573	426
neutral	11	581	411
neutral	11	593	401
neutral	11	604	390
neutral	11	617	387
neutral	11	631	383
neutral	11	643	379
neutral	11	657	379
neutral	11	671	378
neutral	11	685	383
neutral	11	698	389
neutral	11	711	397
neutral	11	722	403
neutral	11	734	413
neutral	11	746	420
neutral	11	754	432
neutral	11	763	442
neutral	11	774	449
neutral	11	783	457
neutral	11	791	467
neutral	11	791	467
neutral	11	791	467
neutral	11	791	467
neutral	12	520	533
neutral	12	527	526
neutral	12	535	518
neutral	12	539	508
neutral	12	543	495
neutral	12	550	486
neutral	12	555	473
neutral	12	560	459
neutral	12	564	440
neutral	12	571	424
neutral	12	580	413
neutral	12	590	404
neutral	12	602	394
neutral	12	613	385
neutral	12	627	383
neutral	12	640	380
neutral	12	654	379
neutral	12	668	379
neutral	12	681	379
neutral	12	694	383
neutral	12	708	391
neutral	12	719	399
neutral	12	730	412
neutral	12	740	422
neutral	12	751	432
neutral	12	760	440
neutral	12	771	447
neutral	12	778	458
neutral	12	787	466
neutral	12	787	466
neutral	12	787	466
neutral	12	787	466
neutral	13	518	525
neutral	13	526	517
neutral	13	531	508
neutral	13	533	494
neutral	13	540	484
neutral	13	543	469
neutral	13	546	451
neutral	13	550	434
neutral	13	557	419
neutral	13	567	408
neutral	13	575	393
neutral	13	586	382
neutral	13	600	380
neutral	13	613	375
neutral	13	625	370
neutral	13	639	370
neutral	13	653	370
neutral	13	668	371
neutral	13	681	372
neutral	13	694	378
neutral	13	707	387
neutral	13	718	394
neutral	13	729	402
neutral	13	740	413
neutral	13	750	424
neutral	13	759	433
neutral	13	768	443
neutral	13	776	452
neutral	13	784	462
neutral	13	784	462
neutral	13	784	462
neutral	13	784	462
neutral	14	525	543
neutral	14	531	534
neutral	14	535	521
neutral	14	540	510
neutral	14	545	498
neutral	14	551	487
neutral	14	556	473
neutral	14	562	458
neutral	14	569	445
neutral	14	577	431
neutral	14	587	424
neutral	14	599	415
neutral	14	610	407
neutral	14	623	401
neutral	14	636	398
neutral	14	650	396
neutral	14	662	394
neutral	14	676	396
neutral	14	689	401
neutral	14	702	407
neutral	14	714	417
neutral	14	726	423
neutral	14	736	432
neutral	14	747	440
neutral	14	756	450
neutral	14	766	460
neutral	14	775	467
neutral	14	775	467
neutral	14	775	467
neutral	14	775	467
neutral	14	775	467
neutral	14	775	467
neutral	15	533	550
neutral	15	541	541
neutral	15	542	527
neutral	15	547	515
neutral	15	552	503
neutral	15	557	490
neutral	15	564	479
neutral	15	571	468
neutral	15	578	455
neutral	15	586	441
neutral	15	596	431
neutral	15	607	423
neutral	15	618	415
neutral	15	631	412
neutral	15	644	406
neutral	15	658	405
neutral	15	670	402
neutral	15	684	404
neutral	15	697	409
neutral	15	709	414
neutral	15	722	422
neutral	15	734	430
neutral	15	744	439
neutral	15	755	446
neutral	15	765	455
neutral	15	774	463
neutral	15	784	471
neutral	15	784	471
neutral	15	784	471
neutral	15	784	471
neutral	15	784	471
neutral	15	784	471
neutral	16	530	549
neutral	16	536	540
neutral	16	541	529
neutral	16	544	517
neutral	16	547	502
neutral	16	552	491
neutral	16	559	479
neutral	16	566	469
neutral	16	574	455
neutral	16	581	441
neutral	16	590	428
neutral	16	600	418
neutral	16	611	410
neutral	16	624	405
neutral	16	637	402
neutral	16	650	398
neutral	16	664	397
neutral	16	677	399
neutral	16	690	405
neutral	16	703	411
neutral	16	715	418
neutral	16	727	426
neutral	16	737	434
neutral	16	748	444
neutral	16	757	455
neutral	16	768	462
neutral	16	777	468
neutral	16	777	468
neutral	16	777	468
neutral	16	777	468
neutral	16	777	468
neutral	16	777	468
neutral	17	528	541
neutral	17	533	530
neutral	17	538	520
neutral	17	544	508
neutral	17	548	496
neutral	17	554	485
neutral	17	559	472
neutral	17	565	459
neutral	17	571	444
neutral	17	581	433
neutral	17	591	424
neutral	17	602	414
neutral	17	612	404
neutral	17	625	398
neutral	17	637	394
neutral	17	651	392
neutral	17	664	392
neutral	17	677	394
neutral	17	691	396
neutral	17	704	403
neutral	17	715	410
neutral	17	727	419
neutral	17	738	428
neutral	17	748	438
neutral	17	757	450
neutral	17	768	456
neutral	17	776	464
neutral	17	776	464
neutral	17	776	464
neutral	17	776	464
neutral	17	776	464
neutral	17	776	464
neutral	18	530	541
neutral	18	535	532
neutral	18	543	525
neutral	18	548	515
neutral	18	551	501
neutral	18	555	486
neutral	18	560	473
neutral	18	564	456
neutral	18	571	444
neutral	18	581	432
neutral	18	590	422
neutral	18	601	413
neutral	18	612	405
neutral	18	625	402
neutral	18	637	396
neutral	18	651	394
neutral	18	664	392
neutral	18	677	396
neutral	18	691	401
neutral	18	703	408
neutral	18	715	415
neutral	18	727	420
neutral	18	738	429
neutral	18	748	437
neutral	18	757	447
neutral	18	767	453
neutral	18	777	462
neutral	18	777	462
neutral	18	777	462
neutral	18	777	462
neutral	18	777	462
neutral	18	777	462
neutral	19	530	541
