coli	1	514	526
coli	1	514	526
coli	1	522	518
coli	1	528	508
coli	1	534	498
coli	1	538	485
coli	1	544	473
coli	1	553	463
coli	1	559	450
coli	1	564	434
coli	1	572	416
coli	1	583	409
coli	1	593	399
coli	1	606	391
coli	1	618	383
coli	1	632	377
coli	1	646	376
coli	1	660	373
coli	1	674	374
coli	1	688	379
coli	1	702	384
coli	1	713	400
coli	1	723	417
coli	1	732	433
coli	1	742	442
coli	1	750	453
coli	1	760	460
coli	1	760	460
coli	1	760	460
coli	1	760	460
coli	1	760	460
coli	1	760	460
coli	2	512	522
coli	2	512	522
coli	2	519	511
coli	2	524	501
coli	2	532	492
coli	2	541	485
coli	2	551	480
coli	2	558	471
coli	2	564	458
coli	2	571	444
coli	2	579	433
coli	2	588	419
coli	2	598	409
coli	2	608	396
coli	2	621	387
coli	2	633	381
coli	2	647	377
coli	2	661	378
coli	2	674	379
coli	2	688	379
coli	2	702	385
coli	2	714	397
coli	2	726	405
coli	2	737	416
coli	2	746	427
coli	2	759	431
coli	2	769	439
coli	2	778	447
coli	2	778	447
coli	2	778	447
coli	2	778	447
coli	2	778	447
coli	3	509	534
coli	3	516	525
coli	3	523	517
coli	3	532	509
coli	3	540	502
coli	3	545	491
coli	3	552	482
coli	3	558	470
coli	3	564	456
coli	3	571	444
coli	3	579	429
coli	3	588	418
coli	3	599	409
coli	3	611	404
coli	3	623	398
coli	3	636	390
coli	3	648	386
coli	3	662	384
coli	3	676	389
coli	3	689	391
coli	3	702	394
coli	3	715	399
coli	3	726	409
coli	3	737	421
coli	3	748	426
coli	3	758	435
coli	3	768	444
coli	3	777	451
coli	3	788	457
coli	3	788	457
coli	3	788	457
coli	3	788	457
coli	4	511	516
coli	4	511	516
coli	4	518	507
coli	4	524	498
coli	4	530	487
coli	4	536	476
coli	4	542	464
coli	4	550	453
coli	4	558	443
coli	4	566	431
coli	4	575	421
coli	4	585	413
coli	4	597	406
coli	4	608	401
coli	4	620	397
coli	4	633	393
coli	4	646	390
coli	4	659	389
coli	4	671	387
coli	4	685	389
coli	4	697	396
coli	4	709	401
coli	4	721	408
coli	4	733	414
coli	4	744	416
coli	4	754	427
coli	4	763	438
coli	4	774	444
coli	4	784	451
coli	4	784	451
coli	4	784	451
coli	4	784	451
coli	5	507	528
coli	5	512	518
coli	5	521	510
coli	5	527	500
coli	5	532	488
coli	5	537	476
coli	5	542	461
coli	5	549	449
coli	5	557	438
coli	5	565	428
coli	5	577	421
coli	5	588	415
coli	5	600	409
coli	5	613	409
coli	5	624	404
coli	5	636	402
coli	5	649	402
coli	5	662	402
coli	5	674	402
coli	5	687	403
coli	5	699	406
coli	5	711	413
coli	5	723	416
